id,last_scraped,host_since,host_listings_count,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,bed_type,price,security_deposit,cleaning_fee,review_scores_rating,number_of_reviews,review_scores_cleanliness,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,has_availability,is_review,days_host
30821866,2019-01-17,2015-12-27,85,f,f,District 8,36.21353873157232,-86.75715661135756,Entire home/apt,House,8,1.0,2,Real Bed,82.0,250.0,95.0,100.0,1,10.0,8.0,10.0,10.0,8.0,t,f,strict_14_with_grace_period,f,f,t,True,1117
30821867,2019-01-17,2015-12-27,85,f,f,District 19,36.15017382084599,-86.72221668129166,Entire home/apt,Apartment,6,1.0,1,Real Bed,52.0,100.0,45.0,80.0,2,9.0,9.0,9.0,9.0,9.0,t,f,strict_14_with_grace_period,f,f,t,True,1117
30821868,2019-01-17,2015-12-27,85,f,f,District 19,36.16773218191317,-86.7824428495452,Entire home/apt,Apartment,6,1.0,1,Real Bed,62.0,100.0,50.0,100.0,2,9.0,10.0,10.0,9.0,10.0,t,f,strict_14_with_grace_period,f,f,t,True,1117
30822624,2019-01-17,2010-12-15,28,f,f,District 19,36.1662667937746,-86.77832103137519,Entire home/apt,Loft,8,3.5,3,Real Bed,750.0,0.0,180.0,100.0,2,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,f,f,t,True,2955
30823339,2019-01-17,2016-11-23,1,f,t,District 19,36.154792128025505,-86.77477292848506,Entire home/apt,Apartment,4,1.0,1,Real Bed,189.0,0.0,105.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,flexible,f,f,t,False,785
30824185,2019-01-17,2015-03-02,2,t,t,District 5,36.19117518969427,-86.76270269320862,Entire home/apt,House,8,3.0,4,Real Bed,350.0,0.0,125.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,strict_14_with_grace_period,f,f,t,False,1417
30825077,2019-01-17,2014-12-31,4,t,f,District 20,36.14012542823493,-86.89341380437608,Private room,House,2,1.0,1,Real Bed,38.0,0.0,0.0,100.0,1,10.0,10.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,f,f,t,True,1478
30825336,2019-01-17,2014-12-31,4,t,f,District 20,36.13863595868095,-86.8930378201449,Private room,House,6,1.0,1,Real Bed,95.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,strict_14_with_grace_period,f,f,t,False,1478
30825967,2019-01-17,2016-08-11,1,f,f,District 1,36.213479019143634,-86.83444937276272,Entire home/apt,House,6,1.0,3,Real Bed,185.0,125.0,95.0,100.0,1,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,t,True,889
30834488,2019-01-17,2016-12-07,96,f,f,District 17,36.14181149649329,-86.76207251955951,Entire home/apt,Condominium,6,1.0,2,Real Bed,97.0,0.0,185.0,100.0,1,8.0,10.0,10.0,10.0,10.0,t,f,super_strict_30,f,f,t,True,771
